STATION,STATION_NAME,REGION,DATE,YEAR,MONTH,SEASON,TMAX,TMIN,TAVG,PRCP,SNOW,SNWD,COUNTY,STATE,EVENT_TYPE,EVENT_FLAG,DAMAGE_PROPERTY,DAMAGE_CROPS,INJURIES,DEATHS
USW00003887,Decatur AP,Central,2010-01-01,2010,1,Winter,-11.11111111111111,-15.555555555555555,-13.333333333333332,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-02,2010,1,Winter,-13.333333333333334,-18.33333333333333,-15.833333333333332,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-03,2010,1,Winter,-12.22222222222222,-20.0,-16.11111111111111,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-04,2010,1,Winter,-11.11111111111111,-17.77777777777778,-14.444444444444445,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-05,2010,1,Winter,-11.11111111111111,-18.33333333333333,-14.72222222222222,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-06,2010,1,Winter,-7.222222222222222,-16.666666666666668,-11.944444444444445,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-07,2010,1,Winter,-5.555555555555555,-11.11111111111111,-8.333333333333332,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-08,2010,1,Winter,-8.88888888888889,-15.0,-11.944444444444445,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-09,2010,1,Winter,-12.22222222222222,-18.33333333333333,-15.277777777777777,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-10,2010,1,Winter,-6.111111111111111,-21.666666666666668,-13.88888888888889,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-11,2010,1,Winter,-4.444444444444445,-7.777777777777778,-6.111111111111111,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-12,2010,1,Winter,-3.333333333333333,-10.555555555555555,-6.944444444444445,1.016,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-13,2010,1,Winter,3.333333333333333,-9.444444444444445,-3.055555555555556,2.54,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-14,2010,1,Winter,5.0,-1.1111111111111112,1.9444444444444444,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-15,2010,1,Winter,3.333333333333333,-1.6666666666666667,0.8333333333333334,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-16,2010,1,Winter,1.1111111111111112,-1.6666666666666667,-0.2777777777777778,0.508,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-17,2010,1,Winter,0.5555555555555556,-2.7777777777777777,-1.1111111111111112,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-18,2010,1,Winter,1.6666666666666667,0.0,0.8333333333333334,0.508,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-19,2010,1,Winter,0.5555555555555556,-2.2222222222222223,-0.8333333333333334,0.254,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-20,2010,1,Winter,0.5555555555555556,-1.6666666666666667,-0.5555555555555556,4.826,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-21,2010,1,Winter,1.6666666666666667,0.5555555555555556,1.1111111111111112,9.398,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-22,2010,1,Winter,2.7777777777777777,0.0,1.3888888888888888,0.254,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-23,2010,1,Winter,8.88888888888889,1.6666666666666667,5.277777777777778,5.08,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-24,2010,1,Winter,8.88888888888889,0.5555555555555556,4.722222222222222,2.286,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-25,2010,1,Winter,0.5555555555555556,-5.555555555555555,-2.5,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-26,2010,1,Winter,-5.555555555555555,-9.444444444444445,-7.5,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-27,2010,1,Winter,0.0,-8.88888888888889,-4.444444444444445,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-28,2010,1,Winter,-3.888888888888889,-13.88888888888889,-8.88888888888889,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-29,2010,1,Winter,-8.333333333333334,-12.77777777777778,-10.555555555555555,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-30,2010,1,Winter,-5.0,-12.22222222222222,-8.61111111111111,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-01-31,2010,1,Winter,-1.1111111111111112,-13.88888888888889,-7.5,1.016,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-01,2010,2,Winter,1.6666666666666667,-10.0,-4.166666666666667,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-02,2010,2,Winter,1.6666666666666667,-5.555555555555555,-1.944444444444444,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-03,2010,2,Winter,-2.7777777777777777,-8.333333333333334,-5.555555555555555,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-04,2010,2,Winter,2.2222222222222223,-5.555555555555555,-1.6666666666666663,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-05,2010,2,Winter,0.5555555555555556,-0.5555555555555556,0.0,9.143999999999998,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-06,2010,2,Winter,0.5555555555555556,-7.222222222222222,-3.333333333333333,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-07,2010,2,Winter,-2.2222222222222223,-8.88888888888889,-5.555555555555555,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-08,2010,2,Winter,-2.2222222222222223,-8.333333333333334,-5.277777777777779,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-09,2010,2,Winter,-3.888888888888889,-11.666666666666666,-7.777777777777778,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-10,2010,2,Winter,-3.333333333333333,-10.0,-6.666666666666667,0.7619999999999999,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-11,2010,2,Winter,-3.333333333333333,-15.0,-9.166666666666666,2.794,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-12,2010,2,Winter,-1.6666666666666667,-14.444444444444445,-8.055555555555555,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-13,2010,2,Winter,-1.6666666666666667,-10.555555555555555,-6.111111111111111,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-14,2010,2,Winter,0.0,-11.666666666666666,-5.833333333333333,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-15,2010,2,Winter,-3.888888888888889,-10.555555555555555,-7.222222222222222,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-16,2010,2,Winter,-0.5555555555555556,-7.222222222222222,-3.888888888888889,1.27,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-17,2010,2,Winter,-1.1111111111111112,-6.666666666666667,-3.888888888888889,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-18,2010,2,Winter,1.1111111111111112,-7.777777777777778,-3.333333333333333,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-19,2010,2,Winter,3.333333333333333,-9.444444444444445,-3.055555555555556,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-20,2010,2,Winter,6.111111111111111,0.0,3.055555555555556,3.556,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-21,2010,2,Winter,2.2222222222222223,0.5555555555555556,1.3888888888888888,20.066,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-22,2010,2,Winter,1.6666666666666667,-2.7777777777777777,-0.5555555555555555,0.508,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-23,2010,2,Winter,1.6666666666666667,-5.555555555555555,-1.944444444444444,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-24,2010,2,Winter,-3.888888888888889,-10.0,-6.944444444444445,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-25,2010,2,Winter,1.6666666666666667,-9.444444444444445,-3.888888888888889,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-26,2010,2,Winter,2.7777777777777777,-7.777777777777778,-2.5,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-27,2010,2,Winter,3.333333333333333,-6.666666666666667,-1.6666666666666667,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-02-28,2010,2,Winter,6.666666666666667,-5.0,0.8333333333333335,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-03-01,2010,3,Spring,3.888888888888889,-1.6666666666666667,1.1111111111111112,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-03-02,2010,3,Spring,2.7777777777777777,-0.5555555555555556,1.1111111111111112,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-03-03,2010,3,Spring,4.444444444444445,-2.2222222222222223,1.1111111111111112,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-03-04,2010,3,Spring,8.333333333333334,-4.444444444444445,1.9444444444444449,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-03-05,2010,3,Spring,7.777777777777778,-5.0,1.3888888888888888,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-03-06,2010,3,Spring,10.0,-6.111111111111111,1.9444444444444449,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-03-07,2010,3,Spring,6.666666666666667,-2.7777777777777777,1.9444444444444449,3.302,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-03-08,2010,3,Spring,7.777777777777778,-0.5555555555555556,3.611111111111111,0.0,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-03-09,2010,3,Spring,15.0,0.0,7.5,0.508,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
USW00003887,Decatur AP,Central,2010-03-10,2010,3,Spring,21.666666666666668,11.11111111111111,16.38888888888889,0.254,,,Macon,ILLINOIS,No Event,0,0.0,0.0,0.0,0.0
