STATE,COUNTY,DATE,EVENT_TYPE,EVENT_FLAG,DAMAGE_PROPERTY,DAMAGE_CROPS,INJURIES,DEATHS
ILLINOIS,ADAMS,2010-06-14,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-15,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-16,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-17,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-18,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-18,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-19,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-19,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-20,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-20,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-21,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-21,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-22,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-22,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-23,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-23,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-24,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-25,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-26,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-27,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-28,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-29,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-06-30,Flood,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-07-14,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-07-17,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-07-22,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-07-23,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-07-24,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-08-02,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-08-03,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-08-04,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-08-08,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-08-09,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-08-10,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-08-11,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-08-12,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-08-13,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2010-08-14,Excessive Heat,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2011-01-31,Winter Storm,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2011-02-01,Blizzard,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2011-02-01,Winter Storm,1,0.0,0.0,0,0
ILLINOIS,ADAMS,2011-02-02,Blizzard,1,0.0,0.0,0,0
