"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-01","0.00","T,,0,2400","0.0","T,,0,","2.0",",,0,",,,"16",",,0","5",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-02","0.00",",,0,2400","0.0",",,0,","2.0",",,0,",,,"11",",,0","2",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-03","0.00","T,,0,2400","0.0","T,,0,","2.0",",,0,",,,"18",",,0","-1",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-04","0.00","T,,0,2400","0.0","T,,0,","2.0",",,0,",,,"18",",,0","7",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-05","0.00","T,,0,2400","0.0","T,,0,","2.0",",,0,",,,"23",",,0","13",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-06","0.01",",,0,2400","0.1",",,0,","2.0",",,0,",,,"20",",,0","10",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-07","0.27",",,0,2400","3.9",",,0,","3.0",",,0,",,,"22",",,0","16",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-08","0.27",",,0,2400","3.5",",,0,","8.0",",,0,",,,"27",",,0","11",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-09","0.00",",,0,2400","0.0",",,0,","7.0",",,0,",,,"22",",,0","6",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-10","0.00","T,,0,2400","0.0","T,,0,","6.0",",,0,",,,"18",",,0","0",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-11","0.00","T,,0,2400","0.0","T,,0,","6.0",",,0,",,,"26",",,0","15",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-12","0.00","T,,0,2400","0.0","T,,0,","5.0",",,0,",,,"31",",,0","20",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-13","0.00",",,0,2400","0.0",",,0,","5.0",",,0,",,,"35",",,0","19",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-14","0.00",",,0,2400","0.0",",,0,","5.0",",,0,",,,"40",",,0","31",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-15","0.00","T,,0,2400","0.0","T,,0,","2.0",",,0,",,,"34",",,0","25",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-16","0.00",",,0,2400","0.0",",,0,","2.0",",,0,",,,"27",",,0","23",",,0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2010-01-17","0.00","T,,0,2400","0.0","T,,0,","2.0",",,0,",,,"29",",,0","19",",,0"
